method_a,method_b,mean_a,mean_b,difference,standard_error,t_statistic,degrees_of_freedom,p_value,significant,cohens_d,pooled_sd,achieved_power,seeds_for_80_percent_power
frozen,eo_prototype,26.9,33.3,-6.399999999999999,0.5882176467941097,-10.880326414688732,4.189243097595969,0.0003155281923888935,True,-6.881322631302019,0.9300537618869138,1.0,1
frozen,mmd,26.9,31.8,-4.900000000000002,0.7211102550927979,-6.795077403759059,4.1249694898706375,0.0021899113024465076,True,-4.2975842946044445,1.140175425099138,0.9999993346512942,1
eo_prototype,synthetic_prototype,33.3,29.3,3.9999999999999964,1.066770828247567,3.749633842697947,6.868037399037977,0.0074254161729269295,True,2.3714766669150067,1.6867127793433,0.9632464996219149,3
sar_only,eo_prototype,29.8,33.3,-3.4999999999999964,0.8544003745317531,-4.096440151864566,7.956462666288427,0.0034950819474228053,True,-2.590816235691616,1.3509256086106296,0.9836796892336631,3
frozen,sar_only,26.9,29.8,-2.900000000000002,0.6324555320336759,-4.585302607244153,4.163197335553705,0.009226903429832671,True,-2.9000000000000026,0.9999999999999999,0.9956718584192851,2
mmd,synthetic_prototype,31.8,29.3,2.5,1.1454256850621083,2.182594674279932,7.632236095346198,0.06222243995880924,False,1.3803940759355817,1.8110770276274835,0.588088525560597,9
frozen,synthetic_prototype,26.9,29.3,-2.400000000000002,0.8988882021697693,-2.669964956939911,4.07999200079992,0.05466464486465968,False,-1.688634107352702,1.4212670403551895,0.7611482334124859,6
sar_only,mmd,29.8,31.8,-2.0,0.9507891459203771,-2.103515809558356,7.861474526704634,0.06916794773871375,False,-1.3303802104754785,1.503329637837291,0.5570728077080224,9
mmd,eo_prototype,31.8,33.3,-1.4999999999999964,0.9219544457292888,-1.6269784336399173,7.678246915417069,0.1439739898938395,False,-1.0289915108550505,1.4577379737113252,0.36957259504416806,15
sar_only,synthetic_prototype,29.8,29.3,0.5,1.0917875251164944,0.45796456590456985,7.161035400370936,0.6605510768062259,False,0.28964222318174615,1.7262676501632068,0.06654862948561831,188
